code,number,other name,specimen requirements,specimen min value,SpecimenType,Temperature,Time,SpecialContainer,cpt code information
DHVD,8822,"1,25-Dihydroxyvitamin D, Serum", Patient Preparation: Fasting (4-hour preferred but not required) Container/Tube: Preferred: Red top Acceptable: Serum gel Specimen Volume: At least 1.5 mL , 1.2 mL ,  Serum  ,  Refrigerated(preferred) Frozen Ambient,  7days 28days 7days,    , 82652
SFUNG,604094,"1,3-Beta-D-Glucan (Fungitell), Serum", Container/Tube: Serum gel (red top tube is not acceptable) Specimen Volume: 1 mL Collection Instructions: 1. Avoid exposure of specimen to atmosphere to prevent environmental contamination of the sample. 2. Centrifuge and send specimen in original collection tube. Do not aliquot or open tube. , 0.5 mL ,  SerumSST ,  Refrigerated(preferred) Frozen,  14days 30days,  SERUMGELTUBE SERUMGELTUBE, 87449
DOCS,46919,"11-Deoxycorticosterone, Serum", Container/Tube: Preferred: Red top Acceptable: Serum gel Specimen Volume: 0.5 mL Collection Instructions: Morning (8 a.m.) specimen is preferred. , 0.4 mL ,  Serum  ,  Refrigerated(preferred) Frozen Ambient,  21days 21days 7days,    , 82633
DCORT,Specimen,"11-Deoxycortisol, Serum", Container/Tube: Preferred: Red top Acceptable: Serum gel Specimen Volume: 0.5 mL Collection Instructions: Morning (8 a.m.) specimen is preferred. , 0.4 mL ,  Serum  ,  Refrigerated(preferred) Ambient Frozen,  28days 28days 28days,    , 82634
F11DX,75673,11-Desoxycortisol," Collection Container/Tube: Red-Top Submission Container/Tube: Plastic vial Specimen Volume: 1 mL Acceptable: SST Collection Instructions: Draw blood in a plain red-top tube(s), serum gel tube(s) is acceptable. Serum must be separated from cells within 45 minutes of venipuncture. Spin down and send 1 mL of serum frozen in a plastic vial. ", 0.2 mL (Note: Minimum volume does not allow for repeat analysis) ,  Serum  ,  Frozen(preferred) Ambient Refrigerated,   72hours 72hours,    , 82634
THCMX,62744,11-nor-Delta-9-Tetrahydrocannabinol-9-Carboxylic Acid," Container/Tube: Chain-of-Custody Meconium Kit (T653) includes the specimen containers, seals, and documentation required. Specimen Volume: 1 g (approximately 1 teaspoon) Collection Instructions: Collect entire random meconium specimen. Additional Information: Specimens that arrive with a broken seal do not meet the chain of custody requirements. ", 0.3 g (approximately 1/4 teaspoon) ,  Meconium  ,  Frozen(preferred) Refrigerated Ambient,  28days 21days 14days,    , 80349; G0480 (if appropriate); 
THCM,84284,11-nor-Delta-9-Tetrahydrocannabinol-9-Carboxylic Acid," Supplies: Stool container, Small (Random), 4 oz (T288) Container/Tube: Stool container Specimen Volume: 1 g (approximately 1 teaspoon) Collection Instructions: Collect entire random meconium specimen. ", 0.3 g (approximately 1/4 teaspoon) ,  Meconium  ,  Frozen(preferred) Refrigerated Ambient,  28days 21days 14days,    , 80349; G0480 (if appropriate); 
F143P,75516,14-3-3 eta Protein," Specimen Type: Serum Container/Tube: Red Top/SST acceptable Specimen Volume: 1mL Collection Instructions: Draw blood in a plain red-top tube(s), serum gel tube(s) is acceptable. Spin down and send 1 mL of serum ambient in a plastic vial. ", 0.5 mL ,  Serum  ,  Ambient(preferred) Frozen Refrigerated,  7days 365days 7days,    , 83520
17OHP,81151,"17-Hydroxypregnenolone, Serum", Collection Container/Tube: Preferred: Red top Acceptable: Serum gel Submission Container/Tube: Plastic vial Specimen Volume: 1 mL , 0.5 mL ,  Serum ,  Frozen(preferred) Refrigerated,  28days 28days,   , 84143
OHPG,9231,"17-Hydroxyprogesterone, Serum", Container/Tube: Red top Specimen Volume: 0.6 mL Additional Information: Indicate patient's age and sex. , 0.25 mL ,  SerumRed  ,  Refrigerated(preferred) Frozen Ambient,  14days 28days 7days,    , 83498
FHC18,75675,"18-Hydroxycorticosterone, Serum"," Collection Container/Tube: Red-Top Submission Container/Tube: Plastic vial Specimen Volume: 3 mL Acceptable: SST Collection Instructions: Draw blood in a plain red-top tube(s), serum gel tube(s) is acceptable. Serum must be separated from cells within 45 minutes of venipuncture. Spin down and send 3 mL of serum frozen in a plastic vial. ", 1 mL (NOTE: Minimum volume does not allow for repeat analysis.) ,  Serum  ,  Frozen(preferred) Ambient Refrigerated,  90days 24hours 24hours,    , 82542
GLIOF,35272,"1p/19q Deletion in Gliomas, FISH, Tissue"," Submit only 1 of the following specimens: Specimen Type: Tissue Preferred: Tissue block Collection Instructions: Submit a formalin-fixed, paraffin-embedded (FFPE) tumor tissue block. Blocks prepared with alternative fixation methods may be acceptable; provide fixation method used. Acceptable: Slides Collection Instructions: Six consecutive, unstained, 5 micron-thick sections placed on positively charged slides, and 1 hematoxylin and eosin-stained slide. "," Four consecutive, unstained, 5-micron-thick sections placed on positively charged slides and 1 hematoxylin and eosin-stained slide ", , , , ," 88271x2, 88291- DNA probe, each (first probe set), Interpretation and"
